Region,Country,Total Cases,Total Tests,Active Cases
Asia,India,44981475,14493,928612551
Asia,Japan,33803572,-1,100414883
Asia,S. Korea,31438960,296086,15804065
Asia,Turkey,17232066,-1,162743369
Asia,Vietnam,11592604,916827,85826548
Asia,Taiwan,10239998,0,30742304
Asia,Iran,7609922,121267,55353767
Asia,Indonesia,6798097,16677,114158919
Asia,Malaysia,5088009,21090,68352292
Asia,Israel,4823329,12356,41373364
Asia,DPRK,4772813,0,-1
Asia,Thailand,4736356,9731,17270775
Asia,Philippines,4116925,15895,35133100
Asia,Hong Kong,2897432,11803,76127725
Asia,Iraq,2465545,673,19544451
Asia,Singapore,2391248,239938,24756666
Asia,Bangladesh,2038384,10490,15254399
Asia,Georgia,1840187,46580,16920079
Asia,Jordan,1746997,1868,17201885
Asia,Pakistan,1580900,11551,30571377
Asia,Kazakhstan,1411831,14963,11575012
Asia,Lebanon,1237556,139055,4795578
Asia,UAE,1065607,11746,200615238
Asia,Mongolia,1008038,45,4030048
Asia,Nepal,1003236,112,6040923
Asia,Saudi Arabia,841469,3900,45481735
Asia,Azerbaijan,831658,98,7604359
Asia,Bahrain,721162,302,10840228
Asia,Sri Lanka,672293,47,6486117
Asia,Kuwait,665851,3044,8455743
Asia,Cyprus,660854,2404,9640118
Asia,Myanmar,637321,1705,10519883
Asia,Palestine,621008,159,3078533
Asia,Qatar,511144,580,4065369
Asia,Armenia,449062,5153,3242901
Asia,Oman,399449,10152,25000000
Asia,Brunei,292644,48818,717784
Asia,Uzbekistan,253287,10164,1377915
Asia,Afghanistan,219043,16042,1249005
Asia,Laos,218101,-1,1233207
Asia,Kyrgyzstan,206888,7491,1907195
Asia,Maldives,186589,22588,2213831
Asia,Cambodia,138736,1,3091420
Asia,Bhutan,62668,1083,2303734
Asia,Syria,57577,43,146269
Asia,Timor-Leste,23433,193,278529
Asia,Tajikistan,17786,397,-1
Asia,Yemen,11945,662,329592
Asia,Macao,3579,11,7850
Asia,China,503302,118977,160000000
